,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
278952,724495967639080964,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,"Воронеж, Воронежская область",Ограниченные умы видят ограниченность только в других,https://t.co/b3ZoxTvWFU,316,313,2015-10-21,ru,ru,В России начались испытания нового комплекса РЭБ для защиты от удара с воздуха https://t.co/l7wEuOvSjl,2016-04-25 07:11,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/L871N1'],[]
36509,836932559095357440,3601120683,"Архив студии карикатуры ""Чебурашка""",Of_Cheburashka,,Наш официальный аккаунт: @Of_Cheburashka_,,88601,73212,2015-09-09,ru,ru,"Они ещё не видели наши торпеды-""тунцы"" и снаряды-""дрозды"" https://t.co/cLBma0mmyG",2017-03-01 13:34,Twitter Web Client,,,,False,,,absent,absent,0,3,25,15,[],[],[]
88352,717358894994034688,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,ru,"1.Включить грустную музыку 
2.Вспоминать как было хорошо вместе 
3.Реветь",2016-04-05 14:31,get-tweets.info5,,,,False,,,absent,absent,0,0,234,61,[],[],[]
127660,636272592572313600,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,ru,"1. Не хотеть замуж. 
2. Увидеть в вк фотографии со свадьбы одноклассницы 
3.Страдать, что все выходят замуж, а ты нет",2015-08-25 20:23,get-tweets.info5,,,,False,,,absent,absent,0,1,173,64,[],[],[]
100198,829609830344192000,wtem0+fpqEh8CvFsygMHyc+IqiaGJi7mhcYOhKJ5TzE=,wtem0+fpqEh8CvFsygMHyc+IqiaGJi7mhcYOhKJ5TzE=,wtem0+fpqEh8CvFsygMHyc+IqiaGJi7mhcYOhKJ5TzE=,"Ставрополь, Россия","Победить самого себя бывает гораздо сложнее, чем самого сильного из врагов",,381,444,2015-11-26,ru,ru,RT @Current_policy: #ГДLive Комитет Государственной Думы поддержал введение штрафов до 5 тыс. руб. за парковку на газонах https://t.co/XgjF…,2017-02-09 08:36,Twitter Web Client,,,,True,,8.295981862306611e+17,absent,absent,0,0,0,0,['ГДLive'],[],['1220760792']
67066,813340426455416836,4408891407,Countryballs,Of_Countryballs,,Официальный аккаунт арт-проекта Countryballs в Twitter. Присоединяйся к нам! #Countryballs #Страношары #Политика #юмор,,64608,68960,2015-12-07,ru,ru,Скорбим... https://t.co/EQ8EIpXW74,2016-12-26 11:07,Twitter Web Client,,,,False,,,absent,absent,1,1,91,46,[],[],[]
190515,1048098463492268032,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,cYv3Do4IMKFIkpMBVNMhyo4P2xkbWjIwwf0pXiHfUU=,"Онега, Архангельская область",Гармония в душе - любить свою семью и Родину,,393,609,2015-11-27,ru,ru,Посетить Твин Пикс можно будет с помощью виртуальной реальности https://t.co/YqiNaEJetH,2018-10-05 06:32,Twitter Web Client,,,,False,,,absent,absent,0,0,0,0,[],[],[]
180327,871034033307873280,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,ru,"1. Удариться об стул.
2. Ударить его в ответ, при этом обматерив.",2017-06-03 16:01,Hootsuite,,,,False,,,absent,absent,0,1,232,41,[],[],[]
265968,837358012197191681,4408891407,Countryballs,Of_Countryballs,,Официальный аккаунт арт-проекта Countryballs в Twitter. Присоединяйся к нам! #Countryballs #Страношары #Политика #юмор,,64608,68960,2015-12-07,ru,ru,"RT @pvxOACrhGGhV9A3sMQopy9hYmthVUywGoAotxQGAPXo=: Мария Захарова назвала ""дном"" публикацию CNN о контактах генпрокурора США Джеффа Сешнса с послом РФ Сергеем Кисляком ht…",2017-03-02 17:44,Twitter Web Client,,,,True,3601120683,8.373210012685722e+17,absent,absent,0,0,0,0,[],[],['pvxOACrhGGhV9A3sMQopy9hYmthVUywGoAotxQGAPXo=']
214939,853033157112717312,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,Россия,"Каждый из нас бывает дураком по крайней мере пять минут в день; мудрость заключается в том, чтобы не превысить лимит #взаимный",https://t.co/VeUJxwA8X7,249,162,2015-10-21,ru,ru,В Южно-Китайское море прибыл американский ракетный эсминец https://t.co/PImYteML26 https://t.co/0uz3Sogijz,2017-04-14 23:52,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/Ntw5BR'],[]
200052,869136772202090496,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,Россия,"Чудеса случаются, когда ты рискуешь всем ради мечты, которую кроме тебя не видит никто. Нужно просто верить.",,574,367,2015-10-21,ru,ru,В Домодедово прокомментировали бунт туристов в аэропорту https://t.co/SeuKoM8qjV https://t.co/9FmOvlplKU,2017-05-29 10:22,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/PGRYrR'],[]
32292,677942939364941825,rvFkNQ9FpJ2t7S4wP533N2fFd0Yoe1dPiSMymQ+Oj+k=,rvFkNQ9FpJ2t7S4wP533N2fFd0Yoe1dPiSMymQ+Oj+k=,rvFkNQ9FpJ2t7S4wP533N2fFd0Yoe1dPiSMymQ+Oj+k=,"Воронежская область, Россия","Мы стремимся к миру, потому что знаем: мир – это тот климат, в котором может существовать свобода #взаимно",https://t.co/Pob70MeFhd,941,780,2015-10-21,ru,ru,Reuters сообщил о решении ЕС продлить антироссийские санкции на полгода https://t.co/iV2cYos5MH https://t.co/OwS5Qofhuy,2015-12-18 20:06,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/D2yD7M'],[]
135119,701126160868978688,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,Россия,"Каждый из нас бывает дураком по крайней мере пять минут в день; мудрость заключается в том, чтобы не превысить лимит #взаимный",https://t.co/VeUJxwA8X7,249,162,2015-10-21,ru,uk,На киевском Майдане установили палатки https://t.co/JqfMT4B03I https://t.co/8JBePlUzc2,2016-02-20 19:27,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/KYwlXd'],[]
230240,806446956847374336,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,0mZSXC45CL+N2vZJlNwHAqm0PA41TrzS6oyfA6rXKgg=,Россия,"Каждый из нас бывает дураком по крайней мере пять минут в день; мудрость заключается в том, чтобы не превысить лимит #взаимный",https://t.co/VeUJxwA8X7,249,162,2015-10-21,ru,ru,Генпрокурор Израиля рекомендовал проверить подарок Медведеву https://t.co/BR1C9wnNRU https://t.co/Q1uenu97QU,2016-12-07 10:35,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/Mqb4Km'],[]
272426,916030549009092613,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,und,https://t.co/Trluy2mbah,2017-10-05 20:01,Hootsuite,,,,False,,,absent,absent,0,0,131,26,[],[],[]
179225,854065187061739520,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,,Стихи современных поэтов.,,4560,0,2016-12-16,ru,und,https://t.co/DKHaz0D3BW,2017-04-17 20:13,get-tweets.info6,,,,False,,,absent,absent,0,1,66,5,[],[],[]
217160,1094927799545221121,3176135580,Бабский список дел,twihussy,,"Перечитывать список много раз, ужасаться, как много еще нужно сделать. По вопросам сотрудничества twittershop@yandex.ru",,834415,27,2015-04-26,ru,ru,"Перечитывать список бабских дел. Ужаснуться, как много еще нужно сделать.",2019-02-11 11:55,Hootsuite Inc.,,,,False,,,absent,absent,0,0,43,1,[],[],[]
84646,881519098546368512,8G1j13tl9R18gcjj3o0M8Rz7yH3t+KBIh8kTtLC6Kpo=,8G1j13tl9R18gcjj3o0M8Rz7yH3t+KBIh8kTtLC6Kpo=,8G1j13tl9R18gcjj3o0M8Rz7yH3t+KBIh8kTtLC6Kpo=,"Воронеж, Россия",Специализация: Государственное и муниципальное управление #политика #общество #выборы,https://t.co/uF5PkgE4f5,263,168,2016-02-27,ru,ru,Эксперты рассказали об обстоятельствах аварии в Татарстане https://t.co/kz3ShuTIqU https://t.co/xn7LK8RBxh,2017-07-02 14:25,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/PRgYs6'],[]
181960,1029043173153230850,d5lqhAVN9HE4LFvWGiRikFgB6CLHvcbdUCXXcHh6s=,d5lqhAVN9HE4LFvWGiRikFgB6CLHvcbdUCXXcHh6s=,d5lqhAVN9HE4LFvWGiRikFgB6CLHvcbdUCXXcHh6s=,"Москва, Россия",Если вы оказались по разные стороны построенных кем-то баррикад - сносите нафиг эти баррикады!,,350,480,2015-11-25,ru,ru,"Участники форума ""Машук"" за 9 лет получили гранты на миллиард рублей https://t.co/A6WhpSNEMt",2018-08-13 16:33,Twitter Web Client,,,,False,,,absent,absent,0,0,0,0,[],[],[]
303023,1180121780612153345,805433712368373760,Интересная Россия,interesno_rus,"Москва, Россия",Открой Россию заново!,,32129,14968,2016-12-04,ru,ru,"RT @RzJ+lXaJs5RXmix3B7WmcKyIwc3JavSJHQawvjgCi2o=: Российская ""Ласточка"" перешла на международные рейсы. Первый маршрут электропоезда соединил Санкт-Петербург и финский гор…",2019-10-04 14:05,Twitter for Android,,,,True,1102236532482678784,1.180120379668521e+18,absent,absent,0,0,0,0,[],[],['RzJ+lXaJs5RXmix3B7WmcKyIwc3JavSJHQawvjgCi2o=']
78460,845902015502962688,4408891407,Countryballs,Of_Countryballs,,Официальный аккаунт арт-проекта Countryballs в Twitter. Присоединяйся к нам! #Countryballs #Страношары #Политика #юмор,,64608,68960,2015-12-07,ru,und,#Countryballs #Страношары #политика #юмор https://t.co/RApt4RTdxz,2017-03-26 07:35,Twitter Web Client,,,,False,,,absent,absent,2,3,53,26,"['Countryballs', 'Страношары', 'политика', 'юмор']",[],[]
212249,747825177107431424,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,Россия,"Чудеса случаются, когда ты рискуешь всем ради мечты, которую кроме тебя не видит никто. Нужно просто верить.",,574,367,2015-10-21,ru,ru,Вышел новый трейлер «Бриджит Джонс 3» https://t.co/ajeupi7weC https://t.co/7ZeDERBBur,2016-06-28 16:13,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/LgYlrV'],[]
177251,713765474056609793,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,5AblBblW5s51ONJTs3tfi7jqPjqDoilNyMqdLqI6EI=,"Воронеж, Воронежская область",Ограниченные умы видят ограниченность только в других,https://t.co/b3ZoxTvWFU,316,313,2015-10-21,ru,ru,В Кремле рассказали о состоянии информационной войны с англосаксами https://t.co/lMvhZ4T2xz https://t.co/Mpow5HjpXv,2016-03-26 16:32,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/Ktv44N'],[]
71193,851025412583018496,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,04d3wBBXUI6yhaNgbVgdTp89adcOGgq2nsgKJkJrU=,,Стихи современных поэтов.,,4560,0,2016-12-16,ru,und,https://t.co/dU3Q6X8ONv,2017-04-09 10:54,get-tweets.info6,,,,False,,,absent,absent,0,0,10,0,[],[],[]
163813,696955223626141697,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,xqKvgQKx5I02KDXEQg8nit8orRhowMz21QMFdhBc5c=,Россия,"Чудеса случаются, когда ты рискуешь всем ради мечты, которую кроме тебя не видит никто. Нужно просто верить.",,574,367,2015-10-21,ru,ru,Ученые из МГУ рассказали о загрязнении московской атмосферы https://t.co/PIzQMZCG48 https://t.co/J7ed6g4XAI,2016-02-09 07:14,dlvr.it,,,,False,,,absent,absent,0,0,0,0,[],['http://dlvr.it/KSGml8'],[]
51773,823900766557638657,8GWLu8tVy0rqHYZii28KgGeScLHlSVnTIDeBu7Aa0=,8GWLu8tVy0rqHYZii28KgGeScLHlSVnTIDeBu7Aa0=,8GWLu8tVy0rqHYZii28KgGeScLHlSVnTIDeBu7Aa0=,"Иваново, Россия","Каждый человек хотя бы пять минут в день бывает дураком. Настоящая мудрость состоит в том, чтобы не превышать этот временной лимит",,404,500,2015-11-26,ru,ru,RT @Current_policy: #ГДLive Комитет Государственной Думы по образованию поддержал расширение мер социальной поддержки детей-сирот https://t…,2017-01-24 14:30,Twitter Web Client,,,,True,,8.238494473188475e+17,absent,absent,0,0,0,0,['ГДLive'],[],['1220760792']
87583,1116309974622273541,l0wB94N2wiE6ZBfpRmiiJ3C24UWTLOkCSh093P80k=,l0wB94N2wiE6ZBfpRmiiJ3C24UWTLOkCSh093P80k=,l0wB94N2wiE6ZBfpRmiiJ3C24UWTLOkCSh093P80k=,,,,1555,19,2015-09-27,tr,und,https://t.co/Z20Gfa6edB,2019-04-11 12:00,ContentPosting,,,,False,,,absent,absent,0,0,0,0,[],[],[]
